function_name,function_title,function_desc,function_return,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
datasets,,,,,,,,,,,,,,,,,,
ExpLearning.Default,[Dataset] Default values for all parameters associated with the ExpLearning Package. ,.,.,,,,,,,,,,,,,,,
ExpLearning.Parameter,[Dataset] Overview of all parameters associated with the ExpLearning Package.,.,.,,,,,,,,,,,,,,,
ExpLearning.MLParameter,"[Dataset] Overview of all ml parameters, i.e. tuning parameters, associated with the learners in the ExpLearning Package.",.,.,,,,,,,,,,,,,,,
test_df,[Dataset] Simple data.table useful for testing purposes.,.,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
data preparation,,,,,,,,,,,,,,,,,,
prepare_data,Prepare a data.table containing the raw data for further processing with the ExpLearning Package and generate a configuration dictionary.,.,List with the modified data.table ('df') and the configuration dictionary ('dict').,,,,,,,,,,,,,,,
complete_data,Convert a data.table into a data.table containing only complete observations (and potentially featuring missigness indicators).,.,Complete data.table ('df') alongside a list of variables affected by missingness ('miss_var'). ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
fold construction,,,,,,,,,,,,,,,,,,
blocked_stratification ,Split a data.table into stratified cluster-level subsets. ,.,Vector of subset IDs (to be merged into original data.table). ,,,,,,,,,,,,,,,
gen_fold,Generate cluster-level CV folds.,Holdout set construction optionally targeting (i) the cluster count (ii) the sample size or (iii) stratification.,Modified data.table containing fold IDs for each observation.,,,,,,,,,,,,,,,
gen_holdout,Generate a cluster-level holdout set.,Holdout set construction optionally targeting (i) the cluster count (ii) the sample size or (iii) stratification.,"Modified data.table containing a holdout set identifier (TRUE, FALSE)  for each observation.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
miscellaneous helper functions,,,,,,,,,,,,,,,,,,
loss,"Calculate specified regression, classification loss (or gain) given a vector of predictions and a vector of labels. ",.,Loss. ,,,,,,,,,,,,,,,
expand_split_grid,Convert a list of tuning parameters into a list of data.tables each containing one tuning parameter combination. ,.,Formatted parameter tuning grid.,,,,,,,,,,,,,,,
